pupilId,nr_tasks_per_pupil,total_duration in minutes,average duration per task in minutes,AI-1-v2-1-1,AI-4-v2-1-4,EvalML-1-1,ML-2-1-1,EvalML-1-5,AI-4-v2-1-5,EvalML-1-2,EvalML-1-6,AIClosing-1-1,AIClosing-1-3,AIClosing-1-4,AI-1-v2-1-2,AI-1-v2-1-2_eval,AI-1-v2-1-2_null_answer,AI-1-v2-1-2_unknown,AI-1-v2-1-2_correct_points,AI-1-v2-1-2_incorrect_points,AI-1-v2-1-2_irrelevant_points,AI-1-v2-1-2_rating_content,AI-1-v2-1-2_rating_format,AI-1-v2-1-2_rating_creativity,AI-4-v2-1-3,AI-4-v2-1-3_eval,AI-4-v2-1-3_null_answer,AI-4-v2-1-3_unknown,AI-4-v2-1-3_correct_points,AI-4-v2-1-3_incorrect_points,AI-4-v2-1-3_irrelevant_points,AI-4-v2-1-3_rating_content,AI-4-v2-1-3_rating_format,AI-4-v2-1-3_rating_creativity,ML-2-1-2,ML-2-1-2_eval,ML-2-1-2_null_answer,ML-2-1-2_unknown,ML-2-1-2_correct_points,ML-2-1-2_incorrect_points,ML-2-1-2_irrelevant_points,ML-2-1-2_rating_content,ML-2-1-2_rating_format,ML-2-1-2_rating_creativity,EvalML-1-7,EvalML-1-7_eval,EvalML-1-7_null_answer,EvalML-1-7_unknown,EvalML-1-7_correct_points,EvalML-1-7_incorrect_points,EvalML-1-7_irrelevant_points,EvalML-1-7_rating_content,EvalML-1-7_rating_format,EvalML-1-7_rating_creativity,AIClosing-1-2,AIClosing-1-5,AIClosing-1-5_eval,AIClosing-1-5_null_answer,AIClosing-1-5_unknown,AIClosing-1-5_correct_points,AIClosing-1-5_incorrect_points,AIClosing-1-5_irrelevant_points,AIClosing-1-5_rating_content,AIClosing-1-5_rating_format,AIClosing-1-5_rating_creativity,LimitsML-1-2,LimitsML-1-2_eval,LimitsML-1-2_null_answer,LimitsML-1-2_unknown,LimitsML-1-2_correct_points,LimitsML-1-2_incorrect_points,LimitsML-1-2_irrelevant_points,LimitsML-1-2_rating_content,LimitsML-1-2_rating_format,LimitsML-1-2_rating_creativity,AI-2-v2-1-1,EvalML-1-4,AI-4-v2-1-1,AI-4-v2-1-2,AI-3-v2-1-2,EvalML-1-3,Classification-1-1-1,Clustering-1-1-1,ML-3-1-2,ML-3-1-3,ML-3-1-4,EvalML-1-9,Classification-2-1-8,Impact-1-1-1,EvalML-1-8,LimitsML-1-1,AIClosing-1-6,AIClosing-1-7,AIClosing-1-8,AIClosing-1-8_eval,AIClosing-1-8_null_answer,AIClosing-1-8_unknown,AIClosing-1-8_correct_points,AIClosing-1-8_incorrect_points,AIClosing-1-8_irrelevant_points,AIClosing-1-8_rating_content,AIClosing-1-8_rating_format,AIClosing-1-8_rating_creativity,classId
Ay6mfswm3SFcQdNJg,66,120.11666666666666,1.8199494949494948,62.0,91.0,81.0,71.0,75.0,90.0,90.0,64.0,100.0,34.0,89.0,"Künstliche Intelligenz ist meiner Meinung nach ein Algorithmus ergänzt um z.B. maschinelles lernen oder auch eine Anwendung welche lernt und in der Lage ist z.B. menschliches Verhalten nachzuahmen indem sie Menschen analysiert. Künstliche Intelligenz sollte meiner Meinung nach auch bereits in der Lage sein gewisse geringfügige ja/nein Entscheidungen zu treffen aber sie sollte dies nicht mit Folgen für das Leben von Menschen. Künstliche Intelligenz lernt unter anderem mit der sogenannten Methode des Deep Lernings. Hierbei werden Daten durch einen Algorithmus geschickt und von diesem ausgewertet mit Hinsicht darauf ob eine Behauptung zu diesen Daten stimmt oder nicht. Gibt der Algorithmus die Lösung richtig wieder werden die Teile der KI bei der Entscheidungsfindung verstärkt, die für die richtige Lösung sorgten. ",correct,,,,,,5.0,5.0,5.0,"KI ist eine künstliche Intelligenz in einem spezifischen Bereich (zumindest heute), welche in der Lage ist eigene Entscheidungen zu treffen und aus diesen zu lernen. KI gibt es noch nicht in solchem Maße wie Menschen intelligent sind, doch spezifische KI ist Menschen in bestimmten Bereichen bereits überlegen.   ",correct,,,,,,5.0,5.0,4.0,"Insbesondere Deep-Learning ist mir bekannt. Beim Deep-Learning werden einem Computer verschiedene Bilder gegeben und der Computer analysiert in mehreren Schritten ob es sich um einen gewissen Fall handelt (also zum Beispiel um den Fall, dass das Bild einen Hund zeigt) oder nicht bzw. ob es sich stattdessen um z.B. eine Katze handelt statt eines Hundes. Wenn nun das Ergebnis richtig war dann werden jene Komponenten, welche zur richtigen Lösung beitragen beim nächsten Versuch stärker gewertet als andere und wenn das Ergebnis falsch war dann werden irreführende Teile des Algorithmus weniger stark gewertet.",correct,,,,,,5.0,5.0,5.0,Beim maschinellen lernen werden KIs selbständig darauf trainiert bestimmte Daten zuzuordnen oder sie zu labeln. Dabei unterscheidet man  zwischen überwachtem und unüberwachtem  lernen.,correct,,,,,,5.0,5.0,4.0,100.0,"Die Bedenken die solche Personen äußern sind nie ohne Grund und darauf sollte man eingehen. Ich würde auch versuchen solchen Menschen zu zeigen, dass wir Menschen der KI dennoch in vielen Dingen überlegen sind und ich würde ihnen zeigen wie viel Kontrolle man dennoch über KI haben kann.",pending,,,,,,,,,Auf einmal würde der Algorithmus anfangen alle Bilder von Hunden nicht mehr als Hunde zu labeln aber dafür alle Seehunde als Hunde labeln.<br>,correct,,,,,,5.0,5.0,5.0,"[True, True, False, True]","[True, True, True, False]","[False, True, True, False]","[True, True, False, True, True, False, True]","[True, False, True]","[True, False, False, True, False, True, False, False, True]","[False, True, False]","[False, False, True, True]","[True, False]","[False, True]","[False, True]","[True, True]","[True, False, True]","[False, True]","[True, False, True, True, False, True, True, True]","[True, True, False]",75.0,87.0,"Ich fand das Design und die Idee dieser Plattform sehr gut und mir fällt nicht wirklich irgendetwas ein woran man meckern könnte, außer wenn ich sehr pingelig mit der Bewertung bin. Eine Sache die ich toll fände wenn sie verbessert würde wäre die Dauer der Lektionen und deren ""Belohnung"". Wenn bei einer Übung nur sehr wenige Coins angeboten werden hat man weniger Lust diese zu machen.",pending,,,,,,,,,qFEyvypMn4sAwLwtc
Z9DkQMmtiPiHtteME,4,25.95,6.4875,43.0,,,,,,,,,,,"<span style=""background-color: rgb(248, 246, 247); color: rgba(0, 0, 0, 0.87);"">kl ist ein Zweig der Informatik, der sich der Automatisierung von intelligentem Verhalten und maschinellem Lernen widmet. Der Begriff ist schwer zu definieren, da es keine genaue Definition von ""intelligent"" gibt. Trotzdem wird es immer noch in Forschung und Entwicklung eingesetzt.</span>",correct,,,,,,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[False, True, False, True]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
sqBXKssFvS8pFYAMv,66,66.65,1.009848484848485,89.0,99.0,96.0,79.0,93.0,100.0,98.0,95.0,95.0,61.0,89.0,Künstliche  Intelligenz ist ein Algorithmus der trainiert oder programmiert wurde bei bestimmten Reißen oder Bedingungen bestimmte Handlungen ausführt.,correct,,,,,,4.0,4.0,4.0,"Eine KI kann durch bestimmte Handlungen, selbst entscheiden was es für eine Handlung ausführen muss. Dafür hat die KI einen Algorithmus durch den sie auch selbst erweitern oder ändern kann wenn’s eine selbstlernende KI ist. Es gibt spezifische KI die z.B nur die schnellste Autoroute von A nach B berechnen können aber auch allgemeine KI die in jedem Bereich ein gewisse Intelligenz  besitzen. Solch eine allgemeine Intelligenz gibt es aber noch nicht.",correct,,,,,,5.0,5.0,4.0,Maschinelles lernen ist lernen bei dem eine Maschine oder eine KI trainiert wird. Dafür braucht die sehr viele Daten und bekommt am Ende ein Feedback ob sie richtig gehandelt hat oder nicht. Mit diesem Feedback werden die Daten die zu einer Handlung führen angepasst.,correct,,,,,,4.0,5.0,4.0,Maschinelles lernen ist ein Lernprozess bei dem mit großen Datenmengen eine KI trainiert wird um  mit bestimmten Handlungen zu reagieren. Es gibt dass überwachte lernen bei dem ein Algorithmus mit gekabelten Daten trainiert wurde und dann später Daten selbst Labeln kann und das unüberwachte lernen das cluster also Regelmäßigkeiten findet.,correct,,,,,,5.0,4.0,4.0,93.0,"Ich würde ihm sagen, dass eine KI niemals so komplex denken kann wie er selbst. Die KI wird immer nur kleine Teilbereiche gut Beherschen können. Der Mensch ist also nicht von KI bedroht sondern hat nur eine Hilfe im Alltag die einen bei Teilbereichen unterstützt.",correct,,,,,,4.0,5.0,4.0,Dann würde der Algorithmus nur Seehund als Hunde Labeln. Echte Hunde würde er nicht erkennen.,correct,,,,,,5.0,5.0,4.0,"[True, True, False, True]","[True, True, True, False]","[False, False, True, False]","[True, True, False, False, True, False, True]","[False, False, True]","[True, False, False, True, False, True, False, True, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, False]","[False, True]","[True, True]","[False, False, True]","[False, True]","[True, False, True, True, False, True, True, True]","[True, True, False]",74.0,89.0,"Ich fand es gut das Videos eingebunden wurden und oft nach der Meinung gefragt wurde.  Die Tipps bei den Multiple-choice Aufgaben könnten allerdings noch auf die jeweils angeklickten Antworten angepasst werden, da man oft einen Tipp zu einer Antwort bekommen hat die man bereits ausgewählt hatte.",correct,,,,,,5.0,5.0,5.0,qFEyvypMn4sAwLwtc
Kd6FuRsrq6QvPrkKp,6,37.38333333333333,6.230555555555555,78.0,,,,,,,,,,,"Künstliche Intelligenz heißt, dass ein Roboter (Beziehungsweise eine Maschine) nachahnen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstgliche Intelligenz komplett selbstständig handeln, dies geschieht durch die sogenannte Automatisierung. Zum Beispiel werden Autos auf das sogenannte Autonomes Fahrsystem ungestellt, was bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln.<br>",correct,,,,,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],[],[],"[True, False, True]",[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
jRT6yzZ2ip5ab5ZFM,66,66.56666666666666,1.0085858585858585,90.0,88.0,76.0,71.0,69.0,72.0,100.0,93.0,51.0,53.0,57.0,"KI oder besser gesagt Künstliche Inteliegenz sind Programme von Menschen erschafen die von Menschen lernen, eigenständich handeln können und sich weiter entwickeln können.",correct,,,,,,4.0,3.0,4.0,"KI anwendung können eigene entscheidungen treffen und lernen durch Erfahrung Spezifische KI umfasst Anwendung, die menschenähnliche Intelligenz in einem kleinen Bereich zeigt",correct,,,,,,4.0,3.0,4.0,Mir fällt grad nichts ein,correct,,,,,,1.0,1.0,1.0,"Beim Maschinellem Lernen, wird die KI von einen Menschen treniert sachen zu tun ",correct,,,,,,4.0,2.0,5.0,58.0,KI können uns sehr im Alltag helfen und auch leben retten solange sie nicht inteliegenter als menschen sein könne.,correct,,,,,,4.0,2.0,3.0,dann würden Hunde kaum noch als Hund vom Programm erkannt werden sondern seehunden würden als Hunde gesehen werden,correct,,,,,,5.0,3.0,4.0,"[True, True, False, True]","[True, True, True, False]","[False, True, True, False]","[False, True, True, False, False, True, True]","[False, False, True]","[False, True, False, True, False, True, False, False, True]","[False, True, True]","[False, False, True, True]","[False, True]","[True, False]","[True, False]","[True, False]","[True, False, True]","[False, True]","[True, False, False, True, True, False, True, True]","[True, True, False]",100.0,100.0,Ich finde dieses system mit den GMBH mega cool so kriegt man auch nen reiz die beste GMBH von allen zu sein :),correct,,,,,,5.0,5.0,5.0,qFEyvypMn4sAwLwtc
gooproPtWeTH6dtcB,66,28.683333333333334,0.4345959595959596,36.0,45.0,44.0,54.0,37.0,42.0,60.0,50.0,65.0,21.0,35.0,<h3>Meine Meinung zu Künstliche Intelligenz ist sehr prositiv auch wenn ich nicht zu viel erfahrung damit gemacht habe </h3><br>,correct,,,,,,3.0,4.0,4.0,"<em style=""color: rgb(32, 33, 34);"">künstliche Intelligenz</em><span style=""color: rgb(32, 33, 34);"">&nbsp;spiegelt sich oft die aus der Aufklärung&nbsp;stammende&nbsp;Vorstellung vom „Menschen als Maschine“ wider, dessen Nachahmung sich die sogenannte&nbsp;</span><em style=""color: rgb(32, 33, 34);"">starke KI</em><span style=""color: rgb(32, 33, 34);"">&nbsp;zum Ziel setzt: eine Intelligenz zu erschaffen, die das menschliche&nbsp;denken&nbsp;mechanisieren soll,</span><a href=""https://de.wikipedia.org/wiki/K%C3%BCnstliche_Intelligenz#cite_note-Nilsson-2009-1"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(6, 69, 173);""><sup>[1]</sup></a><span style=""color: rgb(32, 33, 34);"">&nbsp;bzw. eine Maschine zu konstruieren und zu bauen, die&nbsp;</span><em style=""color: rgb(32, 33, 34);"">intelligent</em><span style=""color: rgb(32, 33, 34);"">&nbsp;reagiert oder sich eben&nbsp;</span><em style=""color: rgb(32, 33, 34);"">wie ein Mensch</em><span style=""color: rgb(32, 33, 34);"">&nbsp;verhält. Die Ziele der starken KI sind nach Jahrzehnten der Forschung weiterhin visionär.</span>",false,,,,,,1.0,1.0,1.0,"<span style=""color: rgb(32, 33, 36);"">Maschinelle Lernen beschreibt den Erwerb von Wissen durch ein künstliches System. Der Computer generiert hier analog wie ein Mensch selbstständig Wissen aus Erfahrungen und kann eigenständig Lösungen für neue und unbekannte Probleme finden.</span>",correct,,,,,,5.0,5.0,4.0,"<span style=""color: rgb(51, 51, 51);"">⠀</span><br>",correct,,,,,,1.0,1.0,1.0,57.0,"<span style=""color: rgb(51, 51, 51);"">⠀</span>",correct,,,,,,0.0,0.0,0.0,"<span style=""color: rgb(51, 51, 51);"">⠀</span>",correct,,,,,,0.0,0.0,0.0,"[True, True, False, True]","[False, False, True, True]","[False, False, True, True]","[False, True, False, False, True, False, False]","[False, True, False]","[True, False, True, True, False, True, False, False, True]","[False, False, False]","[False, True, True, False]","[False, True]","[False, True]","[True, False]","[True, False]","[False, False, False]","[False, True]","[False, False, True, False, False, True, False, True]","[False, True, True]",72.0,100.0,"<span style=""color: rgb(51, 51, 51);"">⠀</span>",correct,,,,,,5.0,5.0,5.0,qFEyvypMn4sAwLwtc
vNMvj2EsvKXvqk3Qw,6,19.6,3.266666666666667,5.0,,,,,,,,,,,"Ich denke, künstliche Intelligenz sind Computer, die wie Menschen viel Wissen haben.",correct,,,,,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[False, True, True, True]",[],[],[],"[True, False, True]",[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
FhFN5eiQduwiYKWEn,34,88.13333333333334,2.592156862745098,73.0,92.0,,80.0,,59.0,,,,,,"küstliche Inteligenz fünktuniert wie ein baby, er lernt mit bilder sprache und was auf immer bei ihm angeht für beispeil wenn ich eine computer programbilder von handy zeige und dann ihm ein bild von ein hund ein bild von ein handy zeige kann er leicht erkennen welche von die beide ein handy ist und welche ein hund.",correct,,,,,,4.0,3.0,5.0,"ki bedeutet lernen durch zeichnungen, erfahrungen, feedbacks, und dann auch selbständig entscheidungen treffen, und dann durch erfahrung und fehler lernen und sich verbessern .",correct,,,,,,4.0,2.0,4.0,maschinelle lernen wenn Mann der Computer keine Anforderungen gibt sondern lasst ihm selbst lernen und entwickeln,correct,,,,,,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[False, True, True, False]","[True, True, False, True, True, False, True]","[True, True, False]",[],"[False, True, True]","[False, False, True, True]","[False, True]","[False, True]","[False, True]",[],"[True, False, True]",[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
R8CkqGDeQXZmHxTuk,27,79.18333333333334,2.9327160493827162,79.0,100.0,,73.0,,77.0,,,,,,Eine KI Ist eine Art Computer der Stelbst  in der Lage ist sachen zu machen odersich zu bewegen oder Leuten zu Helfen,correct,,,,,,4.0,3.0,3.0,Eine KI ist etwas was durch lernen  sich viele sachen aneignen kann un deswegen vieles machen kann,correct,,,,,,2.0,3.0,3.0,Maschinelles Lernen ist  das mann einer KI informaton gibt und sie dadurch Lernt und einsetzen kann,correct,,,,,,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[True, False, True, False]","[False, True, True, False, True, False, False]","[False, False, True]",[],[],"[True, False, False, True]","[False, False]","[False, True]","[True, False]",[],[],[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
RCatXQL24GnNLyRcF,3,6.416666666666667,2.138888888888889,70.0,,,,,,,,,,,"Künstliche Intelligenz liegt vor wenn Maschinen menschliches Verhalten nachahmen sollen, agieren sollen wie Menschen und in Zukunft auch so fühlen sollen. Ein Teilbereich ist dabei das maschinelle Lernen. Hier lernen Maschinen an vielen Wiederholungen etwas zu Erkennen oder zu tun. Menschen bringen dabei korrektes Verhalten bei und Maschinen trainieren dieses. Deep Learning geht auf neuronale Netze zurück und lässt Maschinen beispielsweise Muster in Bildern erkennen. Dabei sind diese so gut wie das Trainingsmaterial war, dass sie beim Lernen verwendet haben.",correct,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,qFEyvypMn4sAwLwtc
