,pupilId,taskId,duration,number words in answer,state
26,Ay6mfswm3SFcQdNJg,Clustering-2-1-1,533,69.0,Für die Make-Up Marke ist auf jeden Fall Cluster Nummer eins das beste da hier viele Views vorliegen und auch ein Interesse an Beauty-Produkten vorliegt. Bei den Autos wird die Auswahl schwieriger denn es gibt keinen YouTube-Kanal bei dem das Haupt Tema Autos sind allerdings kann man  hier nach der Reichweite der YouTuber einen passenden YouTuber für die Kampagne suchen. Hier käme z.B. Cluster 1 oder 2 in Frage.
67,Z9DkQMmtiPiHtteME,AI-1-v2-1-2,920,50.0,"<span style=""background-color: rgb(248, 246, 247); color: rgba(0, 0, 0, 0.87);"">kl ist ein Zweig der Informatik, der sich der Automatisierung von intelligentem Verhalten und maschinellem Lernen widmet. Der Begriff ist schwer zu definieren, da es keine genaue Definition von ""intelligent"" gibt. Trotzdem wird es immer noch in Forschung und Entwicklung eingesetzt.</span>"
137,Kd6FuRsrq6QvPrkKp,AI-1-v2-1-2,979,55.0,"Künstliche Intelligenz heißt, dass ein Roboter (Beziehungsweise eine Maschine) nachahnen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstgliche Intelligenz komplett selbstständig handeln, dies geschieht durch die sogenannte Automatisierung. Zum Beispiel werden Autos auf das sogenannte Autonomes Fahrsystem ungestellt, was bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln.<br>"
325,R8CkqGDeQXZmHxTuk,ML-1-1-1,582,19.0,Ein Hund es hat Vier Pfoten es kann verschiedene Farben haben ebenfalls hat es eine leine und kann bellen<br>
487,rsATbrReo6odn6oXD,ML-1-1-1,696,26.0,"Es ist ein Hund, wenn er vier Pfoten hat.Es ist ein Hund, wenn er Fell hat. Es ist ein Hund, wenn er eine schwarze Nase hat. "
511,7eqvpzMXwFGaYWHou,AI-1-v2-1-2,958,67.0,"<span style=""background-color: rgb(232, 234, 246); color: rgba(0, 0, 0, 0.87);"">Künstliche Intelligenz (KI) ist in Reichweite. Menschen im philosophischen Sinne sind mit den möglichen Zukunftsszenarien der menschlichen Gesellschaft unzufrieden - nicht ohne einige Doomsday-Bilder zu verwenden. Berühmte Ereignisse wie der Sieg der künstlichen Intelligenz AlphaGo gegen Lee Se-dol, den Weltmeister von Go im Jahr 2016, haben ein Bild der KI gemalt, das den Menschen immer mehr übertreffen soll.</span>"
522,dotjrftFetJme4iPH,AI-1-v2-1-2,1063,34.0,"Meiner Meinung nach, künstliche Intelligenz ist das „Deep–Learning“, welches den Maschinen ermöglicht, das menschliche Denken nachzuahmen. Das sogenannte „Deep–Learning“ ist ein Prozess, wobei die Maschinen Bilder nach ihrer Pixel Auflösung und nach Kategorie analysieren."
529,dotjrftFetJme4iPH,AI-4-v2-1-3,533,43.0,"KIs sind Maschinen, die bezüglich im Alltag verwendet werde, wie Alexa, Siri, Gesichtserkennung, usw.. Allerdings gibt es auch Roboter, die das menschliche Verhalten und das logische Denken nachahmen, indem sie durch Erfahrungen bzw. durch das Ansehen von Angaben auf andere Sachen anwenden können."
532,dotjrftFetJme4iPH,ML-1-1-1,643,18.0,"Durch das Lernen von Eigenschaften der Hunde, fällt es den Computern leichter, diese je nach Hunderasse zu sortieren."
547,dotjrftFetJme4iPH,Clustering-2-1-1,1154,76.0,"Die Clusternummer 1 wäre für die Make-Up-Marke am besten geeignet, weil sich ihr Kontent auf Beauty bezieht. Außerdem hat sie die höchste Anzahl an Views, wobei sie viele weibliche Viewers hat. Für die Zuschauer, die am ehesten ein Auto kaufen würden, wäre Clusternummer 2 am idealsten. Da sich der Kontent auf Gaming und Let‘splays bezieht und dazu wahrscheinlich viele Auto Spiele existieren. Wahrscheinlich würden viele im unrealen Leben (in dem Fall der Spiel) einen Auto kaufen."
