,pupilId,classId,taskId,taskSeriesId,duration,state,evaluation,falseAttempts,teacherFeedback,revision,helpRequested,subType,question,sampleSolution,number words in answer,numberHints,rating_content,rating_format,rating_creativity
1,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,401,"Künstliche Intelligenz ist meiner Meinung nach ein Algorithmus ergänzt um z.B. maschinelles lernen oder auch eine Anwendung welche lernt und in der Lage ist z.B. menschliches Verhalten nachzuahmen indem sie Menschen analysiert. Künstliche Intelligenz sollte meiner Meinung nach auch bereits in der Lage sein gewisse geringfügige ja/nein Entscheidungen zu treffen aber sie sollte dies nicht mit Folgen für das Leben von Menschen. Künstliche Intelligenz lernt unter anderem mit der sogenannten Methode des Deep Lernings. Hierbei werden Daten durch einen Algorithmus geschickt und von diesem ausgewertet mit Hinsicht darauf ob eine Behauptung zu diesen Daten stimmt oder nicht. Gibt der Algorithmus die Lösung richtig wieder werden die Teile der KI bei der Entscheidungsfindung verstärkt, die für die richtige Lösung sorgten. ",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",119.0,,5.0,5.0,5.0
8,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,139,"KI ist eine künstliche Intelligenz in einem spezifischen Bereich (zumindest heute), welche in der Lage ist eigene Entscheidungen zu treffen und aus diesen zu lernen. KI gibt es noch nicht in solchem Maße wie Menschen intelligent sind, doch spezifische KI ist Menschen in bestimmten Bereichen bereits überlegen.   ",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",47.0,,5.0,5.0,4.0
11,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,303,"Wenn es vier Beine hat, dann ist die Wahrscheinlichkeit für einen Hund höher.Wenn es eine feucht aussehende Nase an einem vergleichsweise langen Maul hat, ist die Lösung [Hund] naheliegender.Wenn es Fell hat, ist die Lösung [Hund] naheliegender.Wenn es viel sichtbare Haut hat, ist die Lösung [Hund] weniger naheliegend Wenn es große Ohren hat, ist die Lösung [Hund] naheliegender.<br>",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",58.0,,5.0,5.0,5.0
16,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,387,"Insbesondere Deep-Learning ist mir bekannt. Beim Deep-Learning werden einem Computer verschiedene Bilder gegeben und der Computer analysiert in mehreren Schritten ob es sich um einen gewissen Fall handelt (also zum Beispiel um den Fall, dass das Bild einen Hund zeigt) oder nicht bzw. ob es sich stattdessen um z.B. eine Katze handelt statt eines Hundes. Wenn nun das Ergebnis richtig war dann werden jene Komponenten, welche zur richtigen Lösung beitragen beim nächsten Versuch stärker gewertet als andere und wenn das Ergebnis falsch war dann werden irreführende Teile des Algorithmus weniger stark gewertet.",correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",92.0,,5.0,5.0,5.0
26,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,533,Für die Make-Up Marke ist auf jeden Fall Cluster Nummer eins das beste da hier viele Views vorliegen und auch ein Interesse an Beauty-Produkten vorliegt. Bei den Autos wird die Auswahl schwieriger denn es gibt keinen YouTube-Kanal bei dem das Haupt Tema Autos sind allerdings kann man  hier nach der Reichweite der YouTuber einen passenden YouTuber für die Kampagne suchen. Hier käme z.B. Cluster 1 oder 2 in Frage.,correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",69.0,,5.0,5.0,4.0
36,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,84,Auf einmal würde der Algorithmus anfangen alle Bilder von Hunden nicht mehr als Hunde zu labeln aber dafür alle Seehunde als Hunde labeln.<br>,correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",23.0,,5.0,5.0,5.0
43,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,110,Beim maschinellen lernen werden KIs selbständig darauf trainiert bestimmte Daten zuzuordnen oder sie zu labeln. Dabei unterscheidet man  zwischen überwachtem und unüberwachtem  lernen.,correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",23.0,,5.0,5.0,4.0
46,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,Impact-2-1-1,Impact-2,246,"Es könnte nicht nur für Späße missbraucht werden sondern auch für schlimme Konsequenzen für die gefakten Leute sorgen wenn diese nicht mehr nachweisen können, dass das Video gefaket ist.",correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",29.0,,4.0,4.0,4.0
55,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,Impact-3-1-3,Impact-3,259,"Ich kann mir wie schon erwähnt auch vorstellen, dass Ärzte mit KI arbeiten und dann aber trotzdem noch ein Mensch sich um  die Patienten kümmert. Auch Piloten wären durch einen Autopiloten meiner Meinung nach gut ersetzbar doch es sollte immer noch ein zusätzlicher Mensch am Steuer sein.",correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",47.0,,5.0,5.0,4.0
62,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,AIClosing-1-5,AIClosing,223,"Die Bedenken die solche Personen äußern sind nie ohne Grund und darauf sollte man eingehen. Ich würde auch versuchen solchen Menschen zu zeigen, dass wir Menschen der KI dennoch in vielen Dingen überlegen sind und ich würde ihnen zeigen wie viel Kontrolle man dennoch über KI haben kann.",pending,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",48.0,,,,
